Time,Channel A,Channel B
(s),(mV),(V)

1079.73338965,17.42156000,0.00000000
1079.86672299,17.90380000,0.00000000
1080.00005633,16.86607000,-0.03174216
1080.13338967,17.35441000,0.00000000
1080.26672301,18.11134000,0.01953363
1080.40005635,16.90270000,0.00000000
1080.53338969,17.56196000,0.00000000
1080.66672303,17.73288000,0.00000000
1080.80005637,16.83555000,-0.01220852
1080.93338971,17.45819000,-0.02197534
1081.06672305,17.73288000,-0.01220852
1081.20005639,16.93932000,0.00000000
1081.33338973,17.59248000,-0.02197534
1081.46672307,17.83665000,0.00976682
1081.60005641,16.86607000,0.00000000
1081.73338975,17.38493000,0.00976682
1081.86672309,17.76340000,-0.02197534
1082.00005643,16.96984000,0.00000000
1082.13338977,17.56196000,-0.01220852
1082.26672311,17.80002000,0.00976682
1082.40005645,16.83555000,-0.01220852
1082.53338979,17.56196000,0.00000000
1082.66672313,17.76340000,0.00976682
1082.80005647,16.90270000,0.00000000
1082.93338981,17.48871000,0.00976682
1083.06672315,17.76340000,-0.02197534
1083.20005649,16.76840000,0.01953363
1083.33338983,17.56196000,0.00000000
1083.46672317,17.69625000,-0.01220852
1083.60005651,16.90270000,-0.01220852
1083.73338985,17.59248000,-0.01220852
1083.86672319,17.62910000,0.00976682
1084.00005654,16.90270000,0.00000000
1084.13338988,17.62910000,0.00000000
1084.26672322,17.69625000,0.02930045
1084.40005656,16.76840000,0.00000000
1084.53338990,17.62910000,0.00000000
1084.66672324,17.80002000,-0.01220852
1084.80005658,16.83555000,0.00976682
1084.93338992,17.52533000,0.00976682
1085.06672326,17.59248000,0.00000000
1085.20005660,16.69515000,0.00000000
1085.33338994,17.69625000,-0.01220852
1085.46672328,17.56196000,-0.01220852
1085.60005662,16.76840000,-0.01220852
1085.73338996,17.76340000,-0.01220852
1085.86672330,17.59248000,0.00000000
1086.00005664,16.79893000,0.00000000
1086.13338998,17.66573000,-0.01220852
1086.26672332,17.52533000,0.00976682
1086.40005666,16.76840000,-0.01220852
1086.53339000,17.66573000,-0.01220852
1086.66672334,17.66573000,0.00000000
1086.80005668,16.73178000,-0.02197534
1086.93339002,17.69625000,-0.01220852
1087.06672336,17.66573000,0.00000000
1087.20005670,16.56086000,0.00000000
1087.33339004,17.59248000,-0.02197534
1087.46672338,17.56196000,0.00976682
1087.60005672,16.73178000,0.00000000
1087.73339006,17.83665000,0.00000000
1087.86672340,17.62910000,0.00976682
1088.00005674,16.73178000,-0.01220852
1088.13339008,17.66573000,-0.02197534
1088.26672342,17.56196000,0.02930045
1088.40005676,16.83555000,0.00976682
1088.53339010,17.80002000,0.00000000
1088.66672345,17.52533000,-0.01220852
1088.80005679,16.69515000,0.02930045
1088.93339013,17.69625000,0.00000000
1089.06672347,17.56196000,0.00000000
1089.20005681,16.73178000,0.00000000
1089.33339015,17.59248000,-0.01220852
1089.46672349,17.59248000,0.00000000
1089.60005683,16.79893000,0.00976682
1089.73339017,17.69625000,0.01953363
1089.86672351,17.35441000,0.00976682
1090.00005685,16.83555000,0.00000000
1090.13339019,17.73288000,-0.01220852
1090.26672353,17.35441000,0.00000000
1090.40005687,16.66463000,0.00000000
1090.53339021,17.80002000,0.00976682
1090.66672355,17.45819000,0.00976682
1090.80005689,16.62801000,0.00000000
1090.93339023,17.83665000,0.00000000
1091.06672357,17.45819000,-0.02197534
1091.20005691,16.69515000,0.00000000
1091.33339025,17.52533000,0.00000000
1091.46672359,17.56196000,0.00000000
1091.60005693,16.76840000,0.00000000
1091.73339027,17.69625000,0.00000000
1091.86672361,17.35441000,-0.01220852
1092.00005695,16.62801000,0.00000000
1092.13339029,17.83665000,0.00000000
1092.26672363,17.66573000,0.00000000
1092.40005697,16.79893000,-0.01220852
1092.53339031,17.69625000,-0.02197534
1092.66672365,17.42156000,0.00000000
1092.80005699,16.76840000,-0.01220852
1092.93339033,17.76340000,-0.02197534
1093.06672367,17.38493000,0.00000000
1093.20005701,16.73178000,0.00000000
1093.33339036,17.66573000,-0.01220852
1093.46672370,17.38493000,0.00000000
1093.60005704,16.73178000,0.00000000
1093.73339038,17.69625000,0.01953363
1093.86672372,17.38493000,-0.02197534
1094.00005706,16.83555000,0.00000000
1094.13339040,17.59248000,0.00976682
1094.26672374,17.45819000,-0.01220852
1094.40005708,16.76840000,0.00976682
1094.53339042,17.80002000,-0.01220852
1094.66672376,17.42156000,0.00000000
1094.80005710,16.69515000,-0.02197534
1094.93339044,17.83665000,0.00000000
1095.06672378,17.25064000,0.01953363
1095.20005712,16.79893000,-0.01220852
1095.33339046,17.80002000,-0.02197534
1095.46672380,17.31779000,0.00000000
1095.60005714,16.66463000,-0.01220852
1095.73339048,17.83665000,0.00976682
1095.86672382,17.31779000,-0.01220852
1096.00005716,16.76840000,-0.01220852
1096.13339050,17.73288000,0.00000000
1096.26672384,17.25064000,-0.02197534
1096.40005718,16.86607000,0.00000000
1096.53339052,17.76340000,0.00976682
1096.66672386,17.31779000,0.00976682
1096.80005720,16.83555000,-0.02197534
